id;nome;popularidade;seguidores;genero;spotify;imagem
3gIRvgZssIb9aiirIg0nI3;Jeremy Zucker;83;942266;['pop', 'post-teen pop'];https://open.spotify.com/artist/3gIRvgZssIb9aiirIg0nI3;https://i.scdn.co/image/14cb509dee4e8b7ea6a4d57ed1a6796a5fd43371
57LYzLEk2LcFghVwuWbcuS;Summer Walker;83;1229254;['pop'];https://open.spotify.com/artist/57LYzLEk2LcFghVwuWbcuS;https://i.scdn.co/image/a38579606746ef34c38c349f4cdb250784f3aee8
3e7awlrlDSwF3iM0WBjGMp;Little Mix;83;7422820;['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop'];https://open.spotify.com/artist/3e7awlrlDSwF3iM0WBjGMp;https://i.scdn.co/image/5734f0304545846d01f729670014a16574f3d486
0vRvGUQVUjytro0xpb26bs;Arizona Zervas;83;371910;['pop rap'];https://open.spotify.com/artist/0vRvGUQVUjytro0xpb26bs;https://i.scdn.co/image/d549aadbb8b3a254fdc8e5ac93535a706463dce6
7oPftvlwr6VrsViSDV7fJY;Green Day;83;10476271;['permanent wave', 'punk'];https://open.spotify.com/artist/7oPftvlwr6VrsViSDV7fJY;https://i.scdn.co/image/41778f8778469286e6aa9ef751cdc8e942bc0a6f
1KCSPY1glIKqW2TotWuXOR;P!nk;83;8613660;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR;https://i.scdn.co/image/afc2d276d9c1b398d4f1048c20584f926296b9c0
0c173mlxpT3dSFRgMO8XPh;Big Sean;83;7294523;['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh;https://i.scdn.co/image/ace48339c5cdca66a84a780aa0e6420b35b638c3
3b8QkneNDz4JHKKKlLgYZg;Florida Georgia Line;83;3725910;['contemporary country', 'country', 'country pop', 'country road', 'modern country rock'];https://open.spotify.com/artist/3b8QkneNDz4JHKKKlLgYZg;https://i.scdn.co/image/0e85d1c412ecea2f99d7cc70b847979fba68bf4d
4UXqAaa6dQYAk18Lv7PEgX;Fall Out Boy;83;7817453;['emo', 'modern rock', 'pop punk'];https://open.spotify.com/artist/4UXqAaa6dQYAk18Lv7PEgX;https://i.scdn.co/image/078a111caaad88290dfa51d1aebf76f305f63dbf
7d3WFRME3vBY2cgoP38RDo;Lil Skies;83;4048346;['melodic rap', 'rap', 'trap'];https://open.spotify.com/artist/7d3WFRME3vBY2cgoP38RDo;https://i.scdn.co/image/635f58611cdfc3f94742f0899225625bcf61f79a
20sxb77xiYeusSH8cVdatc;Meek Mill;83;4085473;['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap'];https://open.spotify.com/artist/20sxb77xiYeusSH8cVdatc;https://i.scdn.co/image/2c9ec5abeb91b41b6fac18ec974c7a2b85319c5d
0A0FS04o6zMoto8OKPsDwY;YG;83;2197415;['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];https://open.spotify.com/artist/0A0FS04o6zMoto8OKPsDwY;https://i.scdn.co/image/e6dd0c4e7c2fbeaf3e8cc4fc8513fdcfc660e908
2o5jDhtHVPhrJdv3cEQ99Z;Tiësto;83;4955056;['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'trance', 'tropical house'];https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z;https://i.scdn.co/image/75b06fb7f4eef88d06067ad277840ccfec3eb1b1
17lzZA2AlOHwCwFALHttmp;2 Chainz;83;5465265;['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];https://open.spotify.com/artist/17lzZA2AlOHwCwFALHttmp;https://i.scdn.co/image/080a4a7e0ae0d7941278572033bfaf639ef9e698
46SHBwWsqBkxI7EeeBEQG7;Kodak Black;83;5813183;['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap'];https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7;https://i.scdn.co/image/7e3b329829c210144d51035a91b92ce3f55d79fb
1HBjj22wzbscIZ9sEb5dyf;Jonas Blue;82;2745165;['dance pop', 'edm', 'pop', 'tropical house', 'uk dance'];https://open.spotify.com/artist/1HBjj22wzbscIZ9sEb5dyf;https://i.scdn.co/image/23910118c4d51494c32540543607fc2f9c5ff702
4oUHIQIBe0LHzYfvXNW4QM;Morgan Wallen;82;563859;['contemporary country', 'country road', 'deep talent show'];https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM;https://i.scdn.co/image/283d70b5ad864786e52fbe6e59a28ff8a533d7e3
3Y7RZ31TRPVadSFVy1o8os;H.E.R.;82;2511147;['pop', 'r&b'];https://open.spotify.com/artist/3Y7RZ31TRPVadSFVy1o8os;https://i.scdn.co/image/db35f97fba5e334b8a1a10285e8bc462c8b89f12
7z5WFjZAIYejWy0NI5lv4T;Dan + Shay;82;1669589;['contemporary country', 'pop'];https://open.spotify.com/artist/7z5WFjZAIYejWy0NI5lv4T;https://i.scdn.co/image/ff4a12b96c4cd11472c7058a2468c5b609999ccf
7EQ0qTo7fWT7DPxmxtSYEc;Bastille;82;4248283;['metropopolis', 'modern rock', 'pop', 'pop rock'];https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc;https://i.scdn.co/image/7fd538c4aa21542d840e17773e6c8802196d1c4d
07YZf4WDAMNwqr4jfgOZ8y;Jason Derulo;82;7623643;['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary'];https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y;https://i.scdn.co/image/300b459748ce4d11ce1e222eb3d7dff8e854d6da
2qxJFvFYMEDqd7ui6kSAcq;Zedd;82;5088441;['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'post-teen pop', 'tropical house'];https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq;https://i.scdn.co/image/a9c923d081963c77dec430fb842b493724187dcc
2kRfqPViCqYdSGhYSM9R0Q;Madison Beer;82;1976784;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/2kRfqPViCqYdSGhYSM9R0Q;https://i.scdn.co/image/2497635756a066b3d8f861f2932e05dddb9ca916
73sIBHcqh3Z3NyqHKZ7FOL;Childish Gambino;82;6285904;['atl hip hop', 'hip hop', 'pop rap', 'rap'];https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL;https://i.scdn.co/image/2e1d974c14fb66eb5050bf3526c84c4f6e2f47ae
3qm84nBOXUEQ2vnTfUTTFC;Guns N' Roses;82;16621449;['glam metal', 'hard rock', 'rock'];https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC;https://i.scdn.co/image/80920b4fc80b6d970e2934eb8abe27014fc60632
26dSoYclwsYLMAKD3tpOr4;Britney Spears;82;7305397;['dance pop', 'pop', 'pop rap', 'post-teen pop'];https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4;https://i.scdn.co/image/3e47967513ccda2182b17a1b29c00810b8965bd9
